iter	Passed	Remaining
0	11	5964
1	20	5091
2	28	4733
3	37	4690
4	46	4604
5	55	4558
6	64	4513
7	72	4476
8	80	4414
9	89	4376
10	98	4365
11	107	4370
12	115	4341
13	124	4305
14	133	4314
15	142	4301
16	150	4276
17	158	4249
18	168	4260
19	176	4231
20	184	4218
21	194	4215
22	204	4245
23	214	4248
24	223	4242
25	233	4250
26	242	4243
27	251	4234
28	260	4230
29	269	4218
30	277	4203
31	286	4184
32	295	4176
33	303	4160
34	312	4148
35	321	4143
36	330	4137
37	339	4127
38	348	4116
39	356	4100
40	364	4082
41	373	4070
42	383	4071
43	395	4095
44	409	4142
45	419	4136
46	427	4119
47	436	4112
48	445	4100
49	453	4085
50	462	4074
51	471	4060
52	479	4046
53	487	4028
54	495	4010
55	503	3994
56	513	3993
57	521	3976
58	529	3957
59	538	3948
60	546	3934
61	554	3920
62	564	3918
63	574	3912
64	581	3894
65	590	3883
66	598	3870
67	607	3857
68	615	3842
69	623	3829
70	631	3816
71	640	3804
72	648	3792
73	656	3779
74	664	3768
75	673	3755
76	680	3739
77	688	3726
78	696	3714
79	704	3698
80	712	3683
81	721	3675
82	728	3661
83	736	3648
84	743	3631
85	751	3619
86	759	3604
87	767	3591
88	774	3576
89	781	3562
90	790	3550
91	796	3534
92	804	3520
93	812	3510
94	821	3501
95	829	3491
96	837	3478
97	845	3467
98	853	3456
99	860	3441
100	867	3426
101	874	3411
102	881	3399
103	888	3384
104	895	3369
105	902	3353
106	909	3339
107	917	3328
108	924	3317
109	932	3305
110	939	3294
111	947	3281
112	953	3264
113	959	3248
114	966	3235
115	974	3224
116	981	3214
117	989	3202
118	995	3188
119	1002	3173
120	1008	3157
121	1014	3144
122	1022	3134
123	1030	3123
124	1037	3112
125	1044	3100
126	1053	3092
127	1059	3078
128	1065	3064
129	1072	3051
130	1078	3038
131	1086	3027
132	1093	3017
133	1100	3004
134	1106	2991
135	1114	2981
136	1121	2972
137	1129	2963
138	1137	2953
139	1143	2940
140	1150	2929
141	1158	2919
142	1164	2908
143	1171	2895
144	1178	2886
145	1186	2876
146	1194	2868
147	1202	2860
148	1210	2850
149	1218	2843
150	1225	2832
151	1233	2824
152	1242	2817
153	1248	2804
154	1255	2795
155	1264	2788
156	1272	2780
157	1280	2772
158	1289	2765
159	1299	2760
160	1307	2753
161	1314	2743
162	1320	2730
163	1327	2718
164	1334	2710
165	1342	2701
166	1350	2693
167	1357	2683
168	1364	2672
169	1371	2663
170	1379	2654
171	1386	2644
172	1393	2634
173	1401	2626
174	1409	2618
175	1417	2608
176	1424	2599
177	1433	2592
178	1440	2582
179	1448	2574
180	1455	2564
181	1462	2555
182	1470	2546
183	1476	2536
184	1482	2524
185	1489	2515
186	1497	2506
187	1504	2496
188	1511	2487
189	1518	2476
190	1524	2466
191	1532	2458
192	1538	2447
193	1546	2439
194	1554	2431
195	1561	2421
196	1567	2411
197	1575	2403
198	1582	2393
199	1589	2384
200	1597	2376
201	1604	2367
202	1612	2358
203	1618	2348
204	1624	2338
205	1631	2329
206	1639	2320
207	1646	2311
208	1653	2301
209	1658	2290
210	1665	2281
211	1672	2271
212	1678	2262
213	1686	2253
214	1693	2245
215	1700	2235
216	1708	2227
217	1714	2217
218	1721	2208
219	1729	2200
220	1736	2191
221	1742	2182
222	1750	2174
223	1761	2169
224	1797	2196
225	1811	2196
226	1819	2188
227	1826	2178
228	1833	2169
229	1840	2161
230	1848	2152
231	1856	2144
232	1863	2135
233	1870	2126
234	1878	2118
235	1887	2111
236	1900	2109
237	1915	2108
238	1927	2104
239	1940	2102
240	1949	2094
241	1959	2088
242	1969	2083
243	1980	2078
244	1994	2075
245	2004	2069
246	2014	2063
247	2027	2060
248	2035	2051
249	2043	2043
250	2050	2034
251	2058	2025
252	2066	2017
253	2074	2009
254	2082	2000
255	2088	1990
256	2096	1982
257	2105	1974
258	2112	1965
259	2120	1956
260	2127	1948
261	2133	1938
262	2142	1930
263	2148	1921
264	2157	1913
265	2165	1904
266	2171	1895
267	2179	1886
268	2187	1878
269	2194	1869
270	2201	1860
271	2208	1851
272	2216	1843
273	2223	1833
274	2229	1823
275	2235	1814
276	2244	1807
277	2252	1798
278	2258	1789
279	2264	1779
280	2272	1770
281	2278	1761
282	2285	1752
283	2293	1744
284	2300	1735
285	2306	1725
286	2314	1717
287	2322	1709
288	2331	1702
289	2340	1694
290	2349	1687
291	2358	1679
292	2364	1670
293	2373	1662
294	2381	1654
295	2388	1646
296	2396	1638
297	2402	1628
298	2409	1620
299	2417	1611
300	2424	1603
301	2432	1594
302	2439	1585
303	2447	1577
304	2455	1569
305	2460	1560
306	2466	1550
307	2473	1541
308	2480	1532
309	2488	1525
310	2497	1517
311	2503	1508
312	2511	1500
313	2519	1492
314	2526	1484
315	2533	1475
316	2541	1467
317	2549	1459
318	2557	1451
319	2564	1442
320	2571	1433
321	2577	1424
322	2585	1416
323	2591	1407
324	2599	1399
325	2606	1391
326	2613	1382
327	2620	1374
328	2628	1366
329	2636	1357
330	2644	1350
331	2650	1341
332	2658	1332
333	2664	1324
334	2671	1315
335	2678	1307
336	2685	1299
337	2693	1291
338	2701	1283
339	2708	1274
340	2716	1266
341	2723	1258
342	2730	1249
343	2737	1241
344	2744	1232
345	2751	1224
346	2760	1217
347	2768	1209
348	2775	1200
349	2783	1192
350	2790	1184
351	2796	1175
352	2803	1167
353	2812	1160
354	2820	1152
355	2829	1144
356	2837	1136
357	2844	1128
358	2852	1120
359	2861	1112
360	2868	1104
361	2875	1096
362	2882	1087
363	2889	1079
364	2896	1071
365	2903	1063
366	2910	1054
367	2916	1046
368	2923	1037
369	2931	1030
370	2938	1021
371	2944	1013
372	2953	1005
373	2961	997
374	2966	988
375	2972	980
376	2978	971
377	2985	963
378	2991	955
379	2999	947
380	3005	938
381	3014	931
382	3021	922
383	3027	914
384	3034	906
385	3041	898
386	3047	889
387	3055	882
388	3062	873
389	3069	865
390	3075	857
391	3084	849
392	3091	841
393	3099	833
394	3106	825
395	3114	817
396	3121	809
397	3129	802
398	3136	793
399	3144	786
400	3153	778
401	3161	770
402	3168	762
403	3175	754
404	3182	746
405	3190	738
406	3196	730
407	3203	722
408	3210	714
409	3217	706
410	3224	698
411	3230	690
412	3236	681
413	3244	673
414	3251	666
415	3258	658
416	3266	650
417	3272	641
418	3279	634
419	3287	626
420	3294	618
421	3301	610
422	3309	602
423	3315	594
424	3323	586
425	3330	578
426	3336	570
427	3342	562
428	3349	554
429	3357	546
430	3364	538
431	3371	530
432	3377	522
433	3384	514
434	3392	506
435	3399	498
436	3405	490
437	3412	483
438	3419	475
439	3424	467
440	3431	459
441	3438	451
442	3446	443
443	3453	435
444	3462	427
445	3468	419
446	3475	412
447	3482	404
448	3489	396
449	3496	388
450	3503	380
451	3511	372
452	3518	365
453	3525	357
454	3532	349
455	3540	341
456	3548	333
457	3554	326
458	3561	318
459	3568	310
460	3574	302
461	3582	294
462	3589	286
463	3596	279
464	3603	271
465	3610	263
466	3616	255
467	3623	247
468	3630	239
469	3639	232
470	3646	224
471	3653	216
472	3659	208
473	3667	201
474	3674	193
475	3682	185
476	3689	177
477	3697	170
478	3705	162
479	3712	154
480	3719	146
481	3725	139
482	3733	131
483	3739	123
484	3747	115
485	3755	108
486	3761	100
487	3768	92
488	3776	84
489	3782	77
490	3789	69
491	3796	61
492	3803	54
493	3809	46
494	3816	38
495	3823	30
496	3830	23
497	3837	15
498	3845	7
499	3852	0
